,node,ks,kdeg,pr,m
0,157060348,104,264,56.99999999999999,1319
1,20803022,104,154,35.0,998
2,34354722,104,159,35.0,953
3,149027072,104,258,67.0,1779
4,165130852,104,164,33.0,1498
5,27167977,104,238,56.99999999999999,1546
6,19796793,104,133,37.0,2133
7,121607917,104,143,30.0,1009
8,77345438,104,167,25.0,1948
9,20668891,104,243,45.0,1718
10,41825972,104,287,79.0,1790
11,173958524,104,149,35.0,1515
12,154639081,104,248,53.0,1563
13,91637390,104,258,60.0,1561
14,47569242,104,191,44.0,1373
15,16335102,104,224,39.0,1968
16,138336216,104,123,16.0,2086
17,33519870,104,166,39.0,1904
18,153181186,104,166,40.0,3873
19,216665512,104,201,48.0,2564
20,15398974,104,202,75.0,3638
21,56493501,104,213,56.99999999999999,4616
22,19617190,104,361,111.0,2400
23,15576928,104,285,64.0,3439
24,26871300,104,340,103.0,3648
25,19242665,104,307,68.0,2485
26,169112757,104,273,67.0,2929
27,29781607,104,121,25.0,1230
28,21848018,104,165,45.0,1410
29,110628971,104,120,29.0,1034
30,16234543,104,151,32.0,903
31,38526545,104,220,76.0,1993
32,138161425,104,358,76.0,1744
33,35659391,104,132,37.0,1246
34,136817960,104,247,60.0,1462
35,30973292,104,139,34.0,1280
36,18572696,104,141,32.0,1255
37,27050042,104,331,96.0,3542
38,76027335,104,224,48.0,1010
39,30211023,104,277,56.99999999999999,1543
40,57435204,104,246,80.0,2040
41,17542355,104,193,42.0,1432
42,120892393,104,363,88.0,2052
43,166212191,104,209,50.0,1392
44,18234247,104,229,51.0,1549
45,149308499,104,184,41.0,1434
46,21315721,104,186,62.0,2838
47,18556103,104,275,56.99999999999999,3032
48,4230121,104,404,115.0,3237
49,85701883,104,231,86.0,3936
50,177335809,104,162,47.0,1393
51,55270849,104,159,39.0,1500
52,14200408,104,251,50.0,2032
53,51536547,104,212,50.0,1040
54,86221276,104,134,30.0,959
55,120409187,104,136,36.0,1280
56,145713115,104,123,27.0,1513
57,21792170,104,245,56.99999999999999,2043
58,150347034,104,186,40.0,1251
59,10099582,104,284,63.0,1423
60,24793429,104,331,69.0,1691
61,32630330,104,153,35.0,982
62,6210882,104,306,79.0,2096
63,32822382,104,172,40.0,1422
64,24036831,104,247,43.0,1869
65,15401494,104,120,30.0,1151
66,103946194,104,169,36.0,965
67,87969079,104,136,31.0,1035
68,117349852,104,181,19.0,2028
