,node,ks,kdeg,pr,m
0,17116707,99,194,67.0,3212
1,28465635,99,576,165.0,5380
2,380580781,99,260,85.0,5099
3,18996905,99,668,420.0,4204
4,221036078,84,98,20.0,3058
5,153460275,55,61,41.0,2298
6,107830991,99,234,68.0,5187
7,17868918,99,625,407.0,3373
8,151338729,99,393,135.0,3455
9,222261763,99,322,56.99999999999999,7089
10,19705747,81,160,79.0,2595
11,34428380,99,1381,751.0,4694
12,88323281,99,838,174.0,3940
13,19933035,67,71,13.0,3096
14,149538028,99,420,101.0,3484
15,158419434,99,458,107.0,7456
16,17434613,68,101,42.0,2565
17,153226312,99,470,92.0,4796
18,364971269,59,70,14.000000000000002,4083
19,100581193,99,297,36.0,5204
20,279787626,99,373,32.0,5334
21,113058991,99,337,46.0,5967
22,69592091,99,394,136.0,5389
23,187773078,99,445,137.0,3847
24,406628822,99,229,35.0,3503
25,262802533,79,82,19.0,3132
26,460282402,59,76,19.0,2966
27,280935165,99,444,102.0,3446
28,437804658,62,62,14.000000000000002,2606
29,27633075,99,632,317.0,2688
30,285312927,84,91,22.0,3199
31,131613362,99,220,75.0,3268
32,17675120,89,198,49.0,2817
33,394263193,99,371,56.99999999999999,5353
34,254839786,99,372,101.0,3545
35,204317520,99,476,103.0,6008
36,21548772,65,72,55.00000000000001,2440
37,67864340,99,166,51.0,5124
38,172883064,99,475,79.0,6315
39,270449528,99,553,134.0,5725
40,297801196,99,179,42.0,3153
41,8088112,99,384,309.0,3465
42,14925700,72,212,338.0,765
43,124528830,99,326,67.0,3346
44,307458983,99,411,91.0,5192
45,160237722,99,177,47.0,5087
46,220368467,99,214,30.0,5298
47,54228724,84,232,153.0,2758
48,206923844,99,295,95.0,5448
49,103598216,99,292,87.0,5748
50,207594668,15,28,27.0,2984
51,21146135,15,35,39.0,2335
52,451250774,99,234,32.0,5371
53,314316607,99,382,125.0,5736
54,6581292,87,155,75.0,9085
55,31331740,99,685,503.0,3501
56,196327549,99,165,50.0,4821
57,225444667,99,128,56.99999999999999,3027
58,274153775,99,431,86.0,5893
59,35415466,63,65,13.0,4949
60,72818790,99,201,68.0,3413
61,324201646,9,9,6.0,2346
62,40981798,99,1766,1545.0,4432
63,430268163,99,262,62.0,5588
64,88097807,99,442,51.0,3345
65,276308596,99,248,45.0,6160
66,358775055,99,403,51.0,5392
67,15023872,71,109,64.0,5507
68,16870853,28,68,73.0,7209
69,70492333,99,310,73.0,6981
70,430313102,99,156,61.0,4951
71,299715516,28,79,27.0,3137
72,35359596,17,21,19.0,4089
73,276577539,99,217,42.0,3114
74,248883350,99,223,44.0,5170
75,157829215,99,364,86.0,5802
76,107511013,19,19,6.0,2282
77,22462180,99,1391,795.0,4340
78,258140947,99,331,49.0,7219
79,200559228,99,194,53.0,6462
80,19493072,99,396,125.0,9732
81,123371682,99,343,106.0,5157
82,461410856,99,450,98.0,5577
83,31414569,53,89,15.0,5048
84,37699718,98,201,142.0,3178
