,X,Y,value
0,1.0,1.0,9.53860813724927
1,1.0,2.0,9.765733592813762
2,1.0,3.0,9.5
3,1.0,4.0,9.5
4,1.0,5.0,9.5
5,1.0,6.0,9.5
6,1.0,7.0,9.5
7,1.0,8.0,9.5
8,1.0,9.0,9.5
9,1.0,10.0,9.5
10,1.0,11.0,9.5
11,1.0,12.0,9.5
12,1.0,13.0,9.5
13,1.0,14.0,9.5
14,1.0,15.0,9.5
15,1.0,16.0,9.5
16,1.0,17.0,9.5
17,1.0,18.0,9.5
18,1.0,19.0,9.5
19,1.0,20.0,9.5
20,1.0,21.0,9.5
21,1.0,22.0,9.5
22,1.0,23.0,9.5
23,1.0,24.0,9.5
24,1.0,25.0,9.5
25,1.0,26.0,9.5
26,1.0,27.0,9.5
27,1.0,28.0,9.5
28,1.0,29.0,9.5
29,1.0,30.0,9.5
30,1.0,31.0,9.5
31,1.0,32.0,9.5
32,1.0,33.0,9.5
33,1.0,34.0,9.5
34,1.0,35.0,9.5
35,1.0,36.0,9.5
36,1.0,37.0,9.5
37,1.0,38.0,9.5
38,1.0,39.0,9.5
39,1.0,40.0,9.5
40,1.0,41.0,9.5
41,1.0,42.0,9.5
42,1.0,43.0,9.5
43,1.0,44.0,9.5
44,1.0,45.0,9.5
45,1.0,46.0,9.5
46,1.0,47.0,9.5
47,1.0,48.0,9.5
48,1.0,49.0,9.5
49,1.0,50.0,9.5
50,1.0,51.0,9.5
51,1.0,52.0,9.5
52,1.0,53.0,9.5
53,1.0,54.0,9.5
54,1.0,55.0,9.5
55,1.0,56.0,9.5
56,1.0,57.0,9.5
57,1.0,58.0,9.5
58,1.0,59.0,9.5
59,1.0,60.0,9.5
60,2.0,1.0,9.5
61,2.0,2.0,10.038529478130638
62,2.0,3.0,9.951254104970689
63,2.0,4.0,10.215637988489547
64,2.0,5.0,9.5
65,2.0,6.0,9.5
66,2.0,7.0,9.5
67,2.0,8.0,9.5
68,2.0,9.0,9.5
69,2.0,10.0,9.5
70,2.0,11.0,9.5
71,2.0,12.0,9.5
72,2.0,13.0,9.5
73,2.0,14.0,9.5
74,2.0,15.0,9.5
75,2.0,16.0,9.5
76,2.0,17.0,9.5
77,2.0,18.0,9.5
78,2.0,19.0,9.5
79,2.0,20.0,9.5
80,2.0,21.0,9.5
81,2.0,22.0,9.5
82,2.0,23.0,9.5
83,2.0,24.0,9.5
84,2.0,25.0,9.5
85,2.0,26.0,9.5
86,2.0,27.0,9.5
87,2.0,28.0,9.5
88,2.0,29.0,9.5
89,2.0,30.0,9.5
90,2.0,31.0,9.5
91,2.0,32.0,9.5
92,2.0,33.0,9.5
93,2.0,34.0,9.5
94,2.0,35.0,9.5
95,2.0,36.0,9.5
96,2.0,37.0,9.5
97,2.0,38.0,9.5
98,2.0,39.0,9.5
99,2.0,40.0,9.5
100,2.0,41.0,9.5
101,2.0,42.0,9.5
102,2.0,43.0,9.5
103,2.0,44.0,9.5
104,2.0,45.0,9.5
105,2.0,46.0,9.5
106,2.0,47.0,9.5
107,2.0,48.0,9.5
108,2.0,49.0,9.5
109,2.0,50.0,9.5
110,2.0,51.0,9.5
111,2.0,52.0,9.5
112,2.0,53.0,9.5
113,2.0,54.0,9.5
114,2.0,55.0,9.5
115,2.0,56.0,9.5
116,2.0,57.0,9.5
117,2.0,58.0,9.5
118,2.0,59.0,9.5
119,2.0,60.0,9.5
120,3.0,1.0,9.5
121,3.0,2.0,9.5
122,3.0,3.0,10.19967045328208
123,3.0,4.0,10.263239191517734
124,3.0,5.0,10.341439879289037
125,3.0,6.0,10.349161896037442
126,3.0,7.0,9.5
127,3.0,8.0,9.5
128,3.0,9.0,9.5
129,3.0,10.0,9.5
130,3.0,11.0,9.5
131,3.0,12.0,9.5
132,3.0,13.0,9.5
133,3.0,14.0,9.5
134,3.0,15.0,9.5
135,3.0,16.0,9.5
136,3.0,17.0,9.5
137,3.0,18.0,9.5
138,3.0,19.0,9.5
139,3.0,20.0,9.5
140,3.0,21.0,9.5
141,3.0,22.0,9.5
142,3.0,23.0,9.5
143,3.0,24.0,9.5
144,3.0,25.0,9.5
145,3.0,26.0,9.5
146,3.0,27.0,9.5
147,3.0,28.0,9.5
148,3.0,29.0,9.5
149,3.0,30.0,9.5
150,3.0,31.0,9.5
151,3.0,32.0,9.5
152,3.0,33.0,9.5
153,3.0,34.0,9.5
154,3.0,35.0,9.5
155,3.0,36.0,9.5
156,3.0,37.0,9.5
157,3.0,38.0,9.5
158,3.0,39.0,9.5
