,X,Y,value
0,0.0,1.0,9.5
1,0.0,2.0,9.5
2,0.0,3.0,9.5
3,0.0,4.0,9.5
4,0.0,5.0,9.5
5,0.0,6.0,9.5
6,0.0,7.0,9.5
7,0.0,8.0,9.5
8,0.0,9.0,9.5
9,0.0,10.0,9.5
10,0.0,11.0,9.5
11,0.0,12.0,9.5
12,0.0,13.0,9.5
13,0.0,14.0,9.5
14,0.0,15.0,9.5
15,0.0,16.0,9.5
16,0.0,17.0,9.5
17,0.0,18.0,9.5
18,0.0,19.0,9.5
19,0.0,20.0,9.5
20,0.0,21.0,9.5
21,0.0,22.0,9.5
22,0.0,23.0,9.5
23,0.0,24.0,9.5
24,0.0,25.0,9.5
25,0.0,26.0,9.5
26,0.0,27.0,9.5
27,0.0,28.0,9.5
28,0.0,29.0,9.5
29,0.0,30.0,9.5
30,0.0,31.0,9.5
31,0.0,32.0,9.5
32,0.0,33.0,9.5
33,0.0,34.0,9.5
34,0.0,35.0,9.5
35,0.0,36.0,9.5
36,0.0,37.0,9.5
37,0.0,38.0,9.5
38,0.0,39.0,9.5
39,0.0,40.0,9.5
40,0.0,41.0,9.5
41,0.0,42.0,9.5
42,0.0,43.0,9.5
43,0.0,44.0,9.5
44,0.0,45.0,9.5
45,0.0,46.0,9.5
46,0.0,47.0,9.5
47,0.0,48.0,9.5
48,0.0,49.0,9.5
49,0.0,50.0,9.5
50,0.0,51.0,9.5
51,0.0,52.0,9.5
52,0.0,53.0,9.5
53,0.0,54.0,9.5
54,0.0,55.0,9.5
55,0.0,56.0,9.5
56,0.0,57.0,9.5
57,0.0,58.0,9.5
58,0.0,59.0,9.5
59,0.0,60.0,9.5
60,0.0,61.0,9.5
61,0.0,62.0,9.5
62,0.0,63.0,9.5
63,0.0,64.0,9.5
64,0.0,65.0,9.5
65,4.0,1.0,9.5
66,4.0,2.0,9.5
67,4.0,3.0,9.5
68,4.0,4.0,9.5
69,4.0,5.0,9.5
70,4.0,6.0,9.5
71,4.0,7.0,9.5
72,4.0,8.0,9.5
73,4.0,9.0,9.5
74,4.0,10.0,9.5
75,4.0,11.0,9.5
76,4.0,12.0,9.5
77,4.0,13.0,9.5
78,4.0,14.0,9.5
79,4.0,15.0,9.5
80,4.0,16.0,9.5
81,4.0,17.0,9.5
82,4.0,18.0,9.5
83,4.0,19.0,9.5
84,4.0,20.0,9.5
85,4.0,21.0,9.5
86,4.0,22.0,9.5
87,4.0,23.0,9.5
88,4.0,24.0,9.5
89,4.0,25.0,9.5
90,4.0,26.0,9.5
91,4.0,27.0,9.5
92,4.0,28.0,9.5
93,4.0,29.0,9.5
94,4.0,30.0,9.5
95,4.0,31.0,9.5
96,4.0,32.0,9.5
97,4.0,33.0,9.5
98,4.0,34.0,9.5
99,4.0,35.0,9.5
100,4.0,36.0,9.5
101,4.0,37.0,9.5
102,4.0,38.0,9.5
103,4.0,39.0,9.5
104,4.0,40.0,9.5
105,4.0,41.0,9.5
106,4.0,42.0,9.5
107,4.0,43.0,9.5
108,4.0,44.0,9.5
109,4.0,45.0,9.5
110,4.0,46.0,9.5
111,4.0,47.0,9.5
112,4.0,48.0,9.5
113,4.0,49.0,9.5
114,4.0,50.0,9.5
115,4.0,51.0,9.5
116,4.0,52.0,9.5
117,4.0,53.0,9.5
118,4.0,54.0,9.5
119,4.0,55.0,9.5
120,4.0,56.0,9.5
121,4.0,57.0,9.5
122,4.0,58.0,9.5
123,4.0,59.0,9.5
124,4.0,60.0,9.5
125,4.0,61.0,9.5
126,4.0,62.0,9.5
127,4.0,63.0,9.5
128,4.0,64.0,9.5
129,4.0,65.0,9.5
130,6.0,1.0,9.5
131,6.0,2.0,9.765752305026787
132,6.0,3.0,9.5
133,6.0,4.0,9.5
134,6.0,5.0,9.5
135,6.0,6.0,9.5
136,6.0,7.0,9.5
137,6.0,8.0,9.5
138,6.0,9.0,9.5
139,6.0,10.0,9.5
140,6.0,11.0,9.5
141,6.0,12.0,9.5
142,6.0,13.0,9.5
143,6.0,14.0,9.5
144,6.0,15.0,9.5
145,6.0,16.0,9.5
146,6.0,17.0,9.5
147,6.0,18.0,9.5
148,6.0,19.0,9.5
149,6.0,20.0,9.5
150,6.0,21.0,9.5
151,6.0,22.0,9.5
152,6.0,23.0,9.5
153,6.0,24.0,9.5
154,6.0,25.0,9.5
155,6.0,26.0,9.5
156,6.0,27.0,9.5
157,6.0,28.0,9.5
158,6.0,29.0,9.5
159,6.0,30.0,9.5
160,6.0,31.0,9.5
161,6.0,32.0,9.5
162,6.0,33.0,9.5
163,6.0,34.0,9.5
164,6.0,35.0,9.5
165,6.0,36.0,9.5
166,6.0,37.0,9.5
167,6.0,38.0,9.5
168,6.0,39.0,9.5
169,6.0,40.0,9.5
170,6.0,41.0,9.5
171,6.0,42.0,9.5
172,6.0,43.0,9.5
173,6.0,44.0,9.5
174,6.0,45.0,9.5
175,6.0,46.0,9.5
176,6.0,47.0,9.5
177,6.0,48.0,9.5
178,6.0,49.0,9.5
179,6.0,50.0,9.5
180,6.0,51.0,9.5
181,6.0,52.0,9.5
182,6.0,53.0,9.5
183,6.0,54.0,9.5
184,6.0,55.0,9.5
185,6.0,56.0,9.5
186,6.0,57.0,9.5
187,6.0,58.0,9.5
188,6.0,59.0,9.5
189,6.0,60.0,9.5
190,6.0,61.0,9.5
191,6.0,62.0,9.5
192,6.0,63.0,9.5
193,6.0,64.0,9.5
194,6.0,65.0,9.5
195,8.0,1.0,9.5
196,8.0,2.0,10.135601010096071
197,8.0,3.0,10.010818625370224
198,8.0,4.0,9.5
199,8.0,5.0,9.5
200,8.0,6.0,9.5
201,8.0,7.0,9.5
202,8.0,8.0,9.5
203,8.0,9.0,9.5
204,8.0,10.0,9.5
205,8.0,11.0,9.5
206,8.0,12.0,9.5
207,8.0,13.0,9.5
208,8.0,14.0,9.5
209,8.0,15.0,9.5
210,8.0,16.0,9.5
211,8.0,17.0,9.5
212,8.0,18.0,9.5
213,8.0,19.0,9.5
214,8.0,20.0,9.5
215,8.0,21.0,9.5
216,8.0,22.0,9.5
217,8.0,23.0,9.5
218,8.0,24.0,9.5
219,8.0,25.0,9.5
220,8.0,26.0,9.5
221,8.0,27.0,9.5
222,8.0,28.0,9.5
223,8.0,29.0,9.5
224,8.0,30.0,9.5
225,8.0,31.0,9.5
226,8.0,32.0,9.5
227,8.0,33.0,9.5
228,8.0,34.0,9.5
229,8.0,35.0,9.5
230,8.0,36.0,9.5
231,8.0,37.0,9.5
232,8.0,38.0,9.5
233,8.0,39.0,9.5
234,8.0,40.0,9.5
235,8.0,41.0,9.5
236,8.0,42.0,9.5
237,8.0,43.0,9.5
238,8.0,44.0,9.5
239,8.0,45.0,9.5
240,8.0,46.0,9.5
241,8.0,47.0,9.5
242,8.0,48.0,9.5
243,8.0,49.0,9.5
244,8.0,50.0,9.5
245,8.0,51.0,9.5
246,8.0,52.0,9.5
247,8.0,53.0,9.5
248,8.0,54.0,9.5
249,8.0,55.0,9.5
250,8.0,56.0,9.5
251,8.0,57.0,9.5
252,8.0,58.0,9.5
253,8.0,59.0,9.5
254,8.0,60.0,9.5
255,8.0,61.0,9.5
256,8.0,62.0,9.5
257,8.0,63.0,9.5
258,8.0,64.0,9.5
259,8.0,65.0,9.5
