,X,Y,value
0,0.0,5.0,9.5
1,0.0,6.0,9.5
2,0.0,7.0,9.5
3,0.0,8.0,9.5
4,0.0,9.0,9.5
5,0.0,10.0,9.5
6,0.0,11.0,9.5
7,0.0,12.0,9.5
8,0.0,13.0,9.5
9,0.0,14.0,9.5
10,0.0,15.0,9.5
11,0.0,16.0,9.5
12,0.0,17.0,9.5
13,0.0,18.0,9.5
14,0.0,19.0,9.5
15,0.0,20.0,9.5
16,0.0,21.0,9.5
17,0.0,22.0,9.5
18,0.0,23.0,9.5
19,0.0,24.0,9.5
20,0.0,25.0,9.5
21,0.0,26.0,9.5
22,0.0,27.0,9.5
23,0.0,28.0,9.5
24,0.0,29.0,9.5
25,0.0,30.0,9.5
26,0.0,31.0,9.5
27,0.0,32.0,9.5
28,0.0,33.0,9.5
29,0.0,34.0,9.5
30,0.0,35.0,9.5
31,0.0,36.0,9.5
32,0.0,37.0,9.5
33,0.0,38.0,9.5
34,0.0,39.0,9.5
35,0.0,40.0,9.5
36,0.0,41.0,9.5
37,0.0,42.0,9.5
38,0.0,43.0,9.5
39,0.0,44.0,9.5
40,0.0,45.0,9.5
41,0.0,46.0,9.5
42,0.0,47.0,9.5
43,0.0,48.0,9.5
44,0.0,49.0,9.5
45,0.0,50.0,9.5
46,0.0,51.0,9.5
47,0.0,52.0,9.5
48,0.0,53.0,9.5
49,0.0,54.0,9.5
50,0.0,55.0,9.5
51,0.0,57.0,9.5
52,0.0,58.0,9.5
53,0.0,56.0,9.5
54,0.0,59.0,9.5
55,0.0,60.0,9.5
56,0.0,61.0,9.5
57,0.0,62.0,9.5
58,0.0,63.0,9.5
59,0.0,64.0,9.5
60,0.0,65.0,9.5
61,0.0,66.0,9.5
62,0.0,67.0,9.5
63,0.0,68.0,9.5
64,0.0,69.0,9.5
65,0.0,70.0,9.5
66,0.0,71.0,9.5
67,0.0,72.0,9.5
68,0.0,73.0,9.5
69,0.0,74.0,9.5
70,0.0,75.0,9.5
71,0.0,76.0,9.5
72,0.0,77.0,9.5
73,0.0,78.0,9.5
74,0.0,79.0,9.5
75,0.0,80.0,9.5
76,0.0,81.0,9.5
77,0.0,82.0,9.5
78,0.0,83.0,9.5
79,0.0,84.0,9.5
80,0.0,85.0,9.5
81,0.0,86.0,9.5
82,0.0,87.0,9.5
83,0.0,88.0,9.5
84,0.0,89.0,9.5
85,0.0,90.0,9.5
86,0.0,91.0,9.5
87,0.0,92.0,9.5
88,0.0,93.0,9.5
89,0.0,94.0,9.5
90,0.0,95.0,9.5
91,0.0,96.0,9.5
92,0.0,97.0,9.5
93,0.0,98.0,9.5
94,0.0,99.0,9.5
95,0.0,100.0,9.5
96,373769.0,5.0,10.5032485345855
97,373769.0,6.0,10.442687954048266
98,373769.0,7.0,9.5
99,373769.0,8.0,9.5
100,373769.0,9.0,9.5
101,373769.0,10.0,9.5
102,373769.0,11.0,9.5
103,373769.0,12.0,9.5
104,373769.0,13.0,9.5
105,373769.0,14.0,9.5
106,373769.0,15.0,9.5
107,373769.0,16.0,9.5
108,373769.0,17.0,9.5
109,373769.0,18.0,9.5
110,373769.0,19.0,9.5
111,373769.0,20.0,9.5
112,373769.0,21.0,9.5
113,373769.0,22.0,9.5
114,373769.0,23.0,9.5
115,373769.0,24.0,9.5
116,373769.0,25.0,9.5
117,373769.0,26.0,9.5
118,373769.0,27.0,9.5
119,373769.0,28.0,9.5
120,373769.0,29.0,9.5
121,373769.0,30.0,9.5
122,373769.0,31.0,9.5
123,373769.0,32.0,9.5
124,373769.0,33.0,9.5
125,373769.0,34.0,9.5
126,373769.0,35.0,9.5
127,373769.0,36.0,9.5
128,373769.0,37.0,9.5
129,373769.0,38.0,9.5
130,373769.0,39.0,9.5
131,373769.0,40.0,9.5
132,373769.0,41.0,9.5
133,373769.0,42.0,9.5
134,373769.0,43.0,9.5
135,373769.0,44.0,9.5
