,node,ks,kdeg,pr,m,ksum,k2sum
0,17116707,99,194,67.0,36433,26066,27460515
1,28465635,99,576,165.0,36433,29147,32108682
2,380580781,99,260,85.0,36433,31938,27080578
3,18996905,99,668,420.0,36433,10383,10227345
4,221036078,84,98,20.0,36433,22476,19596087
5,153460275,55,61,41.0,36433,8712,7201415
6,107830991,99,234,68.0,36433,40150,29976817
7,17868918,99,625,407.0,36433,14555,10760520
8,151338729,99,393,135.0,36433,39985,28277547
9,222261763,99,322,56.99999999999999,36433,48355,35649438
10,19705747,81,160,79.0,36433,8367,6917835
11,34428380,99,1381,751.0,36433,13399,10744244
12,88323281,99,838,174.0,36433,55015,42237223
13,19933035,67,71,13.0,36433,20711,22048125
14,149538028,99,420,101.0,36433,46420,31945898
15,158419434,99,458,107.0,36433,44455,38580059
16,17434613,68,101,42.0,36433,10375,9663896
17,153226312,99,470,92.0,36433,66757,41370883
18,364971269,59,70,14.000000000000002,36433,17375,24569255
19,100581193,99,297,36.0,36433,53137,37814639
20,279787626,99,373,32.0,36433,67337,42796984
21,113058991,99,337,46.0,36433,41579,36064004
22,69592091,99,394,136.0,36433,35219,27341106
23,187773078,99,445,137.0,36433,34364,34072611
24,406628822,99,229,35.0,36433,39747,27946284
25,262802533,79,82,19.0,36433,22573,21913337
26,460282402,59,76,19.0,36433,14883,20549685
27,280935165,99,444,102.0,36433,45808,30620144
28,437804658,62,62,14.000000000000002,36433,17167,16451467
29,27633075,99,632,317.0,36433,13846,12525751
30,285312927,84,91,22.0,36433,23077,25115175
31,131613362,99,220,75.0,36433,28184,23143566
32,17675120,89,198,49.0,36433,18182,26967931
33,394263193,99,371,56.99999999999999,36433,49809,37985397
34,254839786,99,372,101.0,36433,46499,31558038
35,204317520,99,476,103.0,36433,52106,38757640
36,21548772,65,72,55.00000000000001,36433,6945,2880987
37,67864340,99,166,51.0,36433,33839,27866991
38,172883064,99,475,79.0,36433,57932,41422787
39,270449528,99,553,134.0,36433,56528,36191942
40,297801196,99,179,42.0,36433,29881,22334825
41,8088112,99,384,309.0,36433,10812,7447863
42,14925700,72,212,338.0,36433,871,1665676
43,124528830,99,326,67.0,36433,44856,31961098
44,307458983,99,411,91.0,36433,47057,38021011
45,160237722,99,177,47.0,36433,33658,26404207
46,220368467,99,214,30.0,36433,43353,38784912
47,54228724,84,232,153.0,36433,7477,6174656
48,206923844,99,295,95.0,36433,34688,25915819
49,103598216,99,292,87.0,36433,38797,32301440
50,207594668,15,28,27.0,36433,1294,1822080
51,21146135,15,35,39.0,36433,817,633114
52,451250774,99,234,32.0,36433,45173,32500219
53,314316607,99,382,125.0,36433,42106,30234707
54,6581292,87,155,75.0,36433,13951,16630821
55,31331740,99,685,503.0,36433,9996,7551669
56,196327549,99,165,50.0,36433,23067,17350547
57,225444667,99,128,56.99999999999999,36433,24221,17287686
58,274153775,99,431,86.0,36433,57173,37786352
59,35415466,63,65,13.0,36433,20840,21388618
60,72818790,99,201,68.0,36433,32313,25393652
61,324201646,9,9,6.0,36433,7465,7430147
62,40981798,99,1766,1545.0,36433,25532,20224762
63,430268163,99,262,62.0,36433,41121,31426782
64,88097807,99,442,51.0,36433,56622,37145076
65,276308596,99,248,45.0,36433,46160,34427723
66,358775055,99,403,51.0,36433,58640,35761107
67,15023872,71,109,64.0,36433,7488,10424687
68,16870853,28,68,73.0,36433,8955,16254384
69,70492333,99,310,73.0,36433,16686,20137830
70,430313102,99,156,61.0,36433,21625,19838370
71,299715516,28,79,27.0,36433,6697,12504452
72,35359596,17,21,19.0,36433,1790,5029819
73,276577539,99,217,42.0,36433,28908,24390914
74,248883350,99,223,44.0,36433,38356,31041693
75,157829215,99,364,86.0,36433,49232,37483912
76,107511013,19,19,6.0,36433,10737,9625927
77,22462180,99,1391,795.0,36433,12498,10569795
78,258140947,99,331,49.0,36433,48988,41266721
79,200559228,99,194,53.0,36433,31142,31396055
80,19493072,99,396,125.0,36433,28964,34033557
81,123371682,99,343,106.0,36433,40730,30775304
82,461410856,99,450,98.0,36433,55489,39846270
83,31414569,53,89,15.0,36433,18315,22081266
84,37699718,98,201,142.0,36433,15438,18830387
85,117901353,99,217,30.0,36433,28827,31599937
86,117674417,99,488,271.0,36433,8005,4544752
87,231238695,84,96,19.0,36433,23146,23394055
88,56860418,99,337,97.0,36433,42119,29041086
89,43003845,99,1527,958.0,36433,27352,25820857
90,413275344,21,23,6.0,36433,10175,13630477
91,259842341,99,400,106.0,36433,50385,33811037
92,400689940,97,136,18.0,36433,33437,27712301
93,26929220,99,454,97.0,36433,49098,35848403
94,35148062,28,33,11.0,36433,7117,9903176
95,166214735,88,137,22.0,36433,26102,29404087
96,57490887,99,185,21.0,36433,41441,31344633
97,148519842,40,71,39.0,36433,4824,11260724
98,15150609,56,139,115.0,36433,4128,4285428
99,17759158,95,175,253.0,36433,10754,7513290
100,83943787,99,774,181.0,36433,55073,38326134
101,283306479,99,264,35.0,36433,43186,38488280
102,125120339,99,293,39.0,36433,45798,40106347
103,220068522,44,50,8.0,36433,18386,25162171
104,155661154,99,230,33.0,36433,31576,27412896
105,195475105,99,562,157.0,36433,49686,42230397
106,134940306,99,377,54.0,36433,56880,38737127
107,115221382,82,98,18.0,36433,17684,22694077
108,368018677,9,9,12.0,36433,16,61001
109,439788025,99,336,67.0,36433,52253,38977190
110,262340283,99,414,93.0,36433,34004,34349945
111,116498875,99,308,65.0,36433,22912,27208285
112,257236842,99,153,37.0,36433,28095,26973584
113,128721580,3,3,5.0,36433,589,1347813
114,463952369,99,285,28.000000000000004,36433,54618,37420760
115,254610699,17,32,19.0,36433,1605,3514253
116,247741328,27,53,34.0,36433,3188,7242575
117,226629405,92,289,55.00000000000001,36433,31114,33648472
118,529007327,80,123,22.0,36433,27749,26334203
119,94621855,61,80,21.0,36433,14657,18743098
120,83417972,99,304,41.0,36433,45927,40159331
121,236184723,99,193,21.0,36433,42092,31067306
122,197504076,99,562,62.0,36433,76259,46001174
123,86221475,99,201,56.99999999999999,36433,24672,20712678
124,222411742,45,45,10.0,36433,15939,21632950
125,250178329,59,62,15.0,36433,18356,15200323
126,292598082,91,111,25.0,36433,22012,22496803
127,214328887,99,276,44.0,36433,47811,33124202
128,145845459,98,155,47.0,36433,20403,17570219
129,29911100,64,71,16.0,36433,16003,18303035
130,294752666,74,101,20.0,36433,22582,28782781
131,27077521,74,155,74.0,36433,4864,15463659
132,163238842,99,232,39.0,36433,27140,29891696
133,133055665,99,431,289.0,36433,10539,7676957
134,238201669,99,352,60.0,36433,37871,33054153
135,260769396,82,150,19.0,36433,28703,31760259
136,288485704,99,223,27.0,36433,43528,37791798
137,229425177,99,137,29.0,36433,26593,22364518
138,252770012,80,84,18.0,36433,19681,23216770
139,121533789,99,304,128.0,36433,1527,852033
140,203338499,99,333,35.0,36433,54963,42530009
141,213777144,99,229,36.0,36433,32300,35439638
142,46209291,99,392,87.0,36433,49854,41598305
143,46831674,28,53,44.0,36433,3828,12249916
144,18951737,83,156,80.0,36433,12580,10826722
145,239144776,89,123,16.0,36433,28110,30473222
146,8163442,74,162,112.0,36433,5953,12959594
147,28019653,14,16,18.0,36433,980,2765104
148,447688115,90,115,17.0,36433,30374,28118693
149,16503181,14,14,17.0,36433,2796,4079268
