,X,Y,value
0,0.0,5.0,9.5
1,0.0,6.0,9.5
2,0.0,7.0,9.5
3,0.0,8.0,9.5
4,0.0,9.0,9.5
5,0.0,10.0,9.5
6,0.0,11.0,9.5
7,0.0,12.0,9.5
8,0.0,13.0,9.5
9,0.0,14.0,9.5
10,0.0,15.0,9.5
11,0.0,16.0,9.5
12,0.0,17.0,9.5
13,0.0,18.0,9.5
14,0.0,19.0,9.5
15,0.0,20.0,9.5
16,0.0,21.0,9.5
17,0.0,22.0,9.5
18,0.0,23.0,9.5
19,0.0,24.0,9.5
20,0.0,25.0,9.5
21,0.0,26.0,9.5
22,0.0,27.0,9.5
23,0.0,28.0,9.5
24,0.0,29.0,9.5
25,0.0,30.0,9.5
26,0.0,31.0,9.5
27,0.0,32.0,9.5
28,0.0,33.0,9.5
29,0.0,34.0,9.5
30,0.0,35.0,9.5
31,373769.0,5.0,10.5032485345855
32,373769.0,6.0,10.442687954048266
33,373769.0,7.0,9.5
34,373769.0,8.0,9.5
35,373769.0,9.0,9.5
36,373769.0,10.0,9.5
37,373769.0,11.0,9.5
38,373769.0,12.0,9.5
39,373769.0,13.0,9.5
40,373769.0,14.0,9.5
41,373769.0,15.0,9.5
42,373769.0,16.0,9.5
43,373769.0,17.0,9.5
44,373769.0,18.0,9.5
45,373769.0,19.0,9.5
46,373769.0,20.0,9.5
47,373769.0,21.0,9.5
48,373769.0,22.0,9.5
49,373769.0,23.0,9.5
50,373769.0,24.0,9.5
51,373769.0,25.0,9.5
52,373769.0,26.0,9.5
53,373769.0,27.0,9.5
54,373769.0,28.0,9.5
55,373769.0,29.0,9.5
56,373769.0,30.0,9.5
57,373769.0,31.0,9.5
58,373769.0,32.0,9.5
59,373769.0,33.0,9.5
60,373769.0,34.0,9.5
61,373769.0,35.0,9.5
62,451088.0,5.0,10.503248326652589
63,451088.0,6.0,10.503230236323834
64,451088.0,7.0,10.503230889838944
65,451088.0,8.0,10.503230236323834
66,451088.0,9.0,10.503232347678807
67,451088.0,10.0,10.503230236323834
68,451088.0,11.0,10.503230236323834
69,451088.0,12.0,10.503230236323834
70,451088.0,13.0,10.503230236323834
71,451088.0,14.0,10.503230236323834
72,451088.0,15.0,10.503230236323834
73,451088.0,16.0,10.503230236323834
74,451088.0,17.0,10.503230236323834
75,451088.0,18.0,10.503230236323834
76,451088.0,19.0,10.503230236323834
77,451088.0,20.0,10.503230236323834
78,451088.0,21.0,9.5
79,451088.0,22.0,9.5
80,451088.0,23.0,10.503230236323834
81,451088.0,24.0,9.5
82,451088.0,25.0,9.5
83,451088.0,26.0,9.5
84,451088.0,27.0,9.5
85,451088.0,28.0,9.5
86,451088.0,29.0,9.5
87,451088.0,30.0,9.5
88,451088.0,31.0,9.5
89,451088.0,32.0,9.5
90,451088.0,33.0,9.5
91,451088.0,34.0,9.5
92,451088.0,35.0,9.5
93,441886.0,5.0,10.494201360603022
94,441886.0,6.0,10.503239533063136
95,441886.0,7.0,10.503241215321014
96,441886.0,8.0,10.503230236323834
97,441886.0,9.0,10.50323490825226
98,441886.0,10.0,10.503232623072606
99,441886.0,11.0,10.503230236323834
100,441886.0,12.0,10.503230236323834
101,441886.0,13.0,10.503238309127608
102,441886.0,14.0,10.503233286057364
103,441886.0,15.0,10.503230236323834
104,441886.0,16.0,10.503230236323834
105,441886.0,17.0,10.503230236323834
106,441886.0,18.0,10.503230236323834
107,441886.0,19.0,10.503230236323834
108,441886.0,20.0,10.503230236323834
109,441886.0,21.0,10.503230236323834
110,441886.0,22.0,10.503230236323834
111,441886.0,23.0,10.503230236323834
112,441886.0,24.0,10.503230236323834
113,441886.0,25.0,9.5
114,441886.0,26.0,9.5
115,441886.0,27.0,9.5
116,441886.0,28.0,9.5
117,441886.0,29.0,9.5
118,441886.0,30.0,9.5
119,441886.0,31.0,9.5
120,441886.0,32.0,9.5
121,441886.0,33.0,9.5
