,node,ks,kdeg,pr,m
0,17116707,99,194,67.0,36433
1,28465635,99,576,165.0,36433
2,380580781,99,260,85.0,36433
3,18996905,99,668,420.0,36433
4,221036078,84,98,20.0,36433
5,153460275,55,61,41.0,36433
6,107830991,99,234,68.0,36433
7,17868918,99,625,407.0,36433
8,151338729,99,393,135.0,36433
9,222261763,99,322,56.99999999999999,36433
10,19705747,81,160,79.0,36433
11,34428380,99,1381,751.0,36433
12,88323281,99,838,174.0,36433
13,19933035,67,71,13.0,36433
14,149538028,99,420,101.0,36433
15,158419434,99,458,107.0,36433
16,17434613,68,101,42.0,36433
17,153226312,99,470,92.0,36433
18,364971269,59,70,14.000000000000002,36433
19,100581193,99,297,36.0,36433
20,279787626,99,373,32.0,36433
21,113058991,99,337,46.0,36433
22,69592091,99,394,136.0,36433
23,187773078,99,445,137.0,36433
24,406628822,99,229,35.0,36433
25,262802533,79,82,19.0,36433
26,460282402,59,76,19.0,36433
27,280935165,99,444,102.0,36433
28,437804658,62,62,14.000000000000002,36433
29,27633075,99,632,317.0,36433
30,285312927,84,91,22.0,36433
31,131613362,99,220,75.0,36433
32,17675120,89,198,49.0,36433
33,394263193,99,371,56.99999999999999,36433
34,254839786,99,372,101.0,36433
35,204317520,99,476,103.0,36433
36,21548772,65,72,55.00000000000001,36433
37,67864340,99,166,51.0,36433
38,172883064,99,475,79.0,36433
39,270449528,99,553,134.0,36433
40,297801196,99,179,42.0,36433
41,8088112,99,384,309.0,36433
42,14925700,72,212,338.0,36433
43,124528830,99,326,67.0,36433
44,307458983,99,411,91.0,36433
45,160237722,99,177,47.0,36433
46,220368467,99,214,30.0,36433
47,54228724,84,232,153.0,36433
48,206923844,99,295,95.0,36433
49,103598216,99,292,87.0,36433
50,207594668,15,28,27.0,36433
51,21146135,15,35,39.0,36433
52,451250774,99,234,32.0,36433
53,314316607,99,382,125.0,36433
54,6581292,87,155,75.0,36433
55,31331740,99,685,503.0,36433
56,196327549,99,165,50.0,36433
57,225444667,99,128,56.99999999999999,36433
58,274153775,99,431,86.0,36433
59,35415466,63,65,13.0,36433
60,72818790,99,201,68.0,36433
61,324201646,9,9,6.0,36433
62,40981798,99,1766,1545.0,36433
63,430268163,99,262,62.0,36433
64,88097807,99,442,51.0,36433
65,276308596,99,248,45.0,36433
66,358775055,99,403,51.0,36433
67,15023872,71,109,64.0,36433
68,16870853,28,68,73.0,36433
69,70492333,99,310,73.0,36433
70,430313102,99,156,61.0,36433
71,299715516,28,79,27.0,36433
72,35359596,17,21,19.0,36433
73,276577539,99,217,42.0,36433
74,248883350,99,223,44.0,36433
75,157829215,99,364,86.0,36433
76,107511013,19,19,6.0,36433
77,22462180,99,1391,795.0,36433
78,258140947,99,331,49.0,36433
79,200559228,99,194,53.0,36433
80,19493072,99,396,125.0,36433
81,123371682,99,343,106.0,36433
82,461410856,99,450,98.0,36433
83,31414569,53,89,15.0,36433
84,37699718,98,201,142.0,36433
85,117901353,99,217,30.0,36433
86,117674417,99,488,271.0,36433
87,231238695,84,96,19.0,36433
88,56860418,99,337,97.0,36433
89,43003845,99,1527,958.0,36433
90,413275344,21,23,6.0,36433
91,259842341,99,400,106.0,36433
92,400689940,97,136,18.0,36433
93,26929220,99,454,97.0,36433
94,35148062,28,33,11.0,36433
95,166214735,88,137,22.0,36433
96,57490887,99,185,21.0,36433
97,148519842,40,71,39.0,36433
98,15150609,56,139,114.99999999999999,36433
99,17759158,95,175,252.99999999999997,36433
100,83943787,99,774,181.0,36433
101,283306479,99,264,35.0,36433
102,125120339,99,293,39.0,36433
103,220068522,44,50,8.0,36433
104,155661154,99,230,33.0,36433
105,195475105,99,562,157.0,36433
106,134940306,99,377,54.0,36433
107,115221382,82,98,18.0,36433
108,368018677,9,9,12.0,36433
109,439788025,99,336,67.0,36433
110,262340283,99,414,93.0,36433
111,116498875,99,308,65.0,36433
112,257236842,99,153,37.0,36433
113,128721580,3,3,5.0,36433
114,463952369,99,285,28.000000000000004,36433
